"probeID","CpG_chrm","CpG_beg","CpG_end","probe_strand","CpG_sites_hg19","CHR","Probe_SNPs","gene","TSS_position","UCSC_CpG_Islands_Name","Feature_Type","predict","prob"
"cg00787290","chr6",118226102,118226104,"-","6:118226103","6","","","","chr6:118228042-118229811","N_Shore","Updated_Hypo_MS4",0.32082272313219
"cg00868860","chr12",55041947,55041949,"+","12:55041948","12","","DCD","Body","","","Updated_Hypo_MS4",0.37815134776208
"cg00890049","chr6",115892862,115892864,"-","6:115892863","6","","","","","","Updated_Hypo_MS4",0.346217318990795
"cg00905584","chr14",105058233,105058235,"-","14:105058234","14","","","","chr14:105054873-105055113","S_Shelf","Updated_Hypo_MS4",0.324454983303699
"cg00974255","chr17",35082655,35082657,"-","17:35082656","17","rs17562579","","","chr17:35078631-35078972","S_Shelf","Updated_Hypo_MS4",0.360135529204761
"cg01015123","chr3",161214689,161214691,"-","3:161214690","3","","OTOL1","1stExon","","","Updated_Hypo_MS4",0.352427801935988
"cg01062020","chr1",162382847,162382849,"+","1:162382848","1","","SH2D1B","TSS1500","","","Updated_Hypo_MS4",0.331247305766886
"cg01117384","chr20",56274095,56274097,"-","20:56274096","20","","PMEPA1","5'UTR","","","Updated_Hypo_MS4",0.320660661976726
"cg01117384","chr20",56274095,56274097,"-","20:56274096","20","","PMEPA1","Body","","","Updated_Hypo_MS4",0.320660661976726
"cg01158527","chr11",134864215,134864217,"-","11:134864216","11","","","","","","Updated_Hypo_MS4",0.233976231338119
"cg01190484","chr6",30104592,30104594,"+","6:30104593","6","","TRIM40","5'UTR","","","Updated_Hypo_MS4",0.252573570901343
"cg01190484","chr6",30104592,30104594,"+","6:30104593","6","","TRIM40","1stExon","","","Updated_Hypo_MS4",0.252573570901343
"cg01208318","chr14",106329651,106329653,"-","14:106329652","14","rs72715470","","","chr14:106333492-106333920","N_Shelf","Updated_Hypo_MS4",0.203158568059812
"cg01311313","chr8",35252358,35252360,"-","8:35252359","8","","UNC5D","Body","","","Updated_Hypo_MS4",0.255517507150633
"cg01311955","chr11",132965249,132965251,"-","11:132965250","11","rs12365292","OPCML","Body","","","Updated_Hypo_MS4",0.222919012590082
"cg01329005","chr19",17516711,17516713,"+","19:17516712","19","","BST2","TSS1500","","","Updated_Hypo_MS4",0.231354354529282
"cg01372939","chr16",5283417,5283419,"+","16:5283418","16","","","","","","Updated_Hypo_MS4",0.266742694192735
"cg01395254","chr2",2336427,2336429,"+","2:2336428","2","","MYT1L","TSS1500","","","Updated_Hypo_MS4",0.258984594376344
"cg01469715","chr16",27900715,27900717,"-","16:27900716","16","","GSG1L","Body","","","Updated_Hypo_MS4",0.292057027273158
"cg01469715","chr16",27900715,27900717,"-","16:27900716","16","","GSG1L","TSS1500","","","Updated_Hypo_MS4",0.292057027273158
"cg01495831","chr3",97886466,97886468,"+","3:97886467","3","","OR5H15","TSS1500","","","Updated_Hypo_MS4",0.347377659919046
"cg01526177","chr4",9379165,9379167,"-","4:9379166","4","","","","chr4:9382728-9383135","N_Shelf","Updated_Hypo_MS4",0.309755925855318
"cg01528542","chr12",81468231,81468233,"-","12:81468232","12","","","","chr12:81471569-81472119","N_Shelf","Updated_Hypo_MS4",0.44535836871402
"cg01534572","chr16",89024556,89024558,"+","16:89024557","16","","CBFA2T3","Body","","","Updated_Hypo_MS4",0.339704430260048
"cg01556466","chr7",31146259,31146261,"-","7:31146260","7","","ADCYAP1R1","Body","","","Updated_Hypo_MS4",0.186492926048496
"cg01572460","chr5",15865363,15865365,"-","5:15865364","5","rs79339578","FBXL7","Body","","","Updated_Hypo_MS4",0.40306506215754
"cg01612140","chr6",78166435,78166437,"+","6:78166436","6","","","","","","Updated_Hypo_MS4",0.302742826909301
"cg01623879","chr13",107559228,107559230,"+","13:107559229","13","","","","","","Updated_Hypo_MS4",0.369469351035168
"cg01642550","chr16",89098326,89098328,"+","16:89098327","16","","","","","","Updated_Hypo_MS4",0.385515866069312
"cg01687040","chr12",55043558,55043560,"+","12:55043559","12","","DCD","TSS1500","","","Updated_Hypo_MS4",0.298346663331248
"cg01702210","chr14",58064925,58064927,"+","14:58064926","14","","SLC35F4","TSS1500","","","Updated_Hypo_MS4",0.336290161538948
"cg01703205","chr7",142422235,142422237,"-","7:142422236","7","","","","","","Updated_Hypo_MS4",0.335392070124316
"cg01706263","chr8",10893099,10893101,"-","8:10893100","8","","MIR598","TSS1500","","","Updated_Hypo_MS4",0.254131457500099
"cg01706263","chr8",10893099,10893101,"-","8:10893100","8","","XKR6","Body","","","Updated_Hypo_MS4",0.254131457500099
"cg01709766","chr11",5640317,5640319,"-","11:5640318","11","","TRIM34","TSS1500","","","Updated_Hypo_MS4",0.321083436870221
"cg01709766","chr11",5640317,5640319,"-","11:5640318","11","","TRIM6-TRIM34","Body","","","Updated_Hypo_MS4",0.321083436870221
"cg01712948","chr2",89165760,89165762,"+","2:89165761","2","","","","","","Updated_Hypo_MS4",0.410628432010897
"cg01719405","chr14",62401257,62401259,"-","14:62401258","14","","","","","","Updated_Hypo_MS4",0.469156800019648
"cg01771065","chr14",102102406,102102408,"+","14:102102407","14","","","","chr14:102101165-102101596","S_Shore","Updated_Hypo_MS4",0.318402663631557
"cg01792749","chr3",38835178,38835180,"+","3:38835179","3","","SCN10A","Body","","","Updated_Hypo_MS4",0.255894149310671
"cg01793320","chr8",20030778,20030780,"+","8:20030779","8","","SLC18A1","Body","","","Updated_Hypo_MS4",0.316430626335977
"cg01802121","chr14",22216295,22216297,"-","14:22216296","14","","","","","","Updated_Hypo_MS4",0.254849685293282
"cg01862897","chr14",70548167,70548169,"-","14:70548168","14","","SLC8A3","Body","","","Updated_Hypo_MS4",0.196818899777855
"cg01862897","chr14",70548167,70548169,"-","14:70548168","14","","SLC8A3","TSS1500","","","Updated_Hypo_MS4",0.196818899777855
"cg01890568","chr17",31437648,31437650,"+","17:31437649","17","","ACCN1","Body","","","Updated_Hypo_MS4",0.244973825620722
"cg01932361","chr16",86985992,86985994,"-","16:86985993","16","rs68173841","","","","","Updated_Hypo_MS4",0.200951471360912
"cg01950077","chr6",109610931,109610933,"-","6:109610932","6","","","","chr6:109611449-109612230","N_Shore","Updated_Hypo_MS4",0.235753340372144
"cg01954686","chr7",150885653,150885655,"-","7:150885654","7","","ASB10","TSS1500","","","Updated_Hypo_MS4",0.262163047896203
"cg02006405","chr6",6055149,6055151,"-","6:6055150","6","","","","chr6:6058355-6058664","N_Shelf","Updated_Hypo_MS4",0.327184902056457
"cg02050028","chr7",43156036,43156038,"+","7:43156037","7","","HECW1","5'UTR","chr7:43152020-43153340","S_Shelf","Updated_Hypo_MS4",0.248502083955919
"cg02052265","chr1",247712109,247712111,"-","1:247712110","1","","C1orf150","TSS1500","","","Updated_Hypo_MS4",0.413676634873155
"cg02057755","chr1",48998822,48998824,"-","1:48998823","1","","AGBL4","3'UTR","","","Updated_Hypo_MS4",0.268653614102381
"cg02077084","chr1",248549940,248549942,"+","1:248549941","1","","OR2T6","TSS1500","","","Updated_Hypo_MS4",0.261462862150324
"cg02078710","chr14",59066093,59066095,"+","14:59066094","14","","","","","","Updated_Hypo_MS4",0.330267164472947
"cg02088237","chr6",39304007,39304009,"+","6:39304008","6","","KIF6","3'UTR","","","Updated_Hypo_MS4",0.293166577306867
"cg02088996","chr7",41817770,41817772,"+","7:41817771","7","","LOC285954","Body","","","Updated_Hypo_MS4",0.273616200741763
"cg02132909","chr7",95454614,95454616,"-","7:95454615","7","","DYNC1I1","Body","","","Updated_Hypo_MS4",0.202423049601475
"cg02304033","chr10",129346679,129346681,"+","10:129346680","10","","NPS","TSS1500","","","Updated_Hypo_MS4",0.356464764167157
"cg02336334","chr19",54242242,54242244,"+","19:54242243","19","","MIR518A2","TSS1500","","","Updated_Hypo_MS4",0.24104203941662
"cg02341759","chr15",86685278,86685280,"-","15:86685279","15","rs58977055","AGBL1","5'UTR","","","Updated_Hypo_MS4",0.226608169624307
"cg02341759","chr15",86685278,86685280,"-","15:86685279","15","rs58977055","AGBL1","1stExon","","","Updated_Hypo_MS4",0.226608169624307
"cg02371376","chr15",77314405,77314407,"+","15:77314406","15","","PSTPIP1","Body","","","Updated_Hypo_MS4",0.324594561690016
"cg02392882","chr15",29031878,29031880,"+","15:29031879","15","","","","chr15:29033878-29034710","N_Shore","Updated_Hypo_MS4",0.308212689727089
"cg02421734","chr19",55172735,55172737,"-","19:55172736","19","","LILRB4","TSS1500","","","Updated_Hypo_MS4",0.202184374589045
"cg02467451","chr12",132923602,132923604,"+","12:132923603","12","","","","chr12:132922117-132922443","S_Shore","Updated_Hypo_MS4",0.233115692682604
"cg02473594","chr7",153582284,153582286,"-","7:153582285","7","","","","chr7:153583317-153585666","N_Shore","Updated_Hypo_MS4",0.248491382524165
"cg02482438","chr6",49753576,49753578,"-","6:49753577","6","","PGK2","3'UTR","","","Updated_Hypo_MS4",0.32739600374505
"cg02482438","chr6",49753576,49753578,"-","6:49753577","6","","PGK2","1stExon","","","Updated_Hypo_MS4",0.32739600374505
"cg02557922","chr2",595311,595313,"-","2:595312","2","","","","","","Updated_Hypo_MS4",0.225093395003185
"cg02565878","chr1",111295744,111295746,"+","1:111295745","1","","","","","","Updated_Hypo_MS4",0.225961372334801
"cg02583247","chr12",4555310,4555312,"+","12:4555311","12","","FGF6","TSS1500","chr12:4554405-4554624","S_Shore","Updated_Hypo_MS4",0.206408753055201
"cg02608452","chr11",30034395,30034397,"+","11:30034396","11","","KCNA4","5'UTR","chr11:30037672-30037944","N_Shelf","Updated_Hypo_MS4",0.284201864865244
"cg02609279","chr2",182325951,182325953,"-","2:182325952","2","","ITGA4","Body","chr2:182321761-182323029","S_Shelf","Updated_Hypo_MS4",0.339093751292733
"cg02622133","chr16",1061919,1061921,"+","16:1061920","16","","","","chr16:1060490-1060799","S_Shore","Updated_Hypo_MS4",0.266351616488203
"cg02757516","chr10",134921758,134921760,"+","10:134921759","10","","GPR123","Body","chr10:134918755-134918975","S_Shelf","Updated_Hypo_MS4",0.335989721378345
"cg02810967","chr4",17813557,17813559,"-","4:17813558","4","","DCAF16","TSS1500","chr4:17811954-17813227","S_Shore","Updated_Hypo_MS4",0.370087732086557
"cg02810967","chr4",17813557,17813559,"-","4:17813558","4","","NCAPG","Body","chr4:17811954-17813227","S_Shore","Updated_Hypo_MS4",0.370087732086557
"cg02846963","chr4",182430814,182430816,"-","4:182430815","4","rs17071646","","","","","Updated_Hypo_MS4",0.301452015123046
"cg02849956","chr19",4634826,4634828,"+","19:4634827","19","","","","chr19:4636207-4636567","N_Shore","Updated_Hypo_MS4",0.348918498846699
"cg02873384","chr11",4936856,4936858,"-","11:4936857","11","","OR51G2","1stExon","","","Updated_Hypo_MS4",0.238901652528738
"cg02936347","chr16",20338198,20338200,"+","16:20338199","16","","GP2","5'UTR","","","Updated_Hypo_MS4",0.408775286190186
"cg02940362","chr11",5009200,5009202,"-","11:5009201","11","","MMP26","TSS1500","","","Updated_Hypo_MS4",0.258326488291755
"cg03049917","chr15",88752390,88752392,"-","15:88752391","15","","NTRK3","Body","","","Updated_Hypo_MS4",0.406173407077148
"cg03081173","chr6",31166501,31166503,"-","6:31166502","6","rs9404982","HCG27","Body","chr6:31165412-31165923","S_Shore","Updated_Hypo_MS4",0.363126304413987
"cg03134809","chr11",1365010,1365012,"+","11:1365011","11","","","","","","Updated_Hypo_MS4",0.333541195865924
"cg03214622","chr17",77115632,77115634,"-","17:77115633","17","","HRNBP3","5'UTR","","","Updated_Hypo_MS4",0.331757937243506
"cg03252770","chr4",154354353,154354355,"-","4:154354354","4","rs59967615","","","","","Updated_Hypo_MS4",0.300776093715228
"cg03290522","chr15",80634247,80634249,"-","15:80634248","15","","","","","","Updated_Hypo_MS4",0.227873842103788
"cg03308038","chr10",132866575,132866577,"-","10:132866576","10","","","","","","Updated_Hypo_MS4",0.272941177751469
"cg03312565","chr1",4577364,4577366,"-","1:4577365","1","rs79814943","","","","","Updated_Hypo_MS4",0.240167046826078
"cg03319695","chr18",59156626,59156628,"+","18:59156627","18","","CDH20","TSS1500","","","Updated_Hypo_MS4",0.272553737763731
"cg03328961","chr5",22141683,22141685,"-","5:22141684","5","rs71609239","CDH12","5'UTR","","","Updated_Hypo_MS4",0.244141621431386
"cg03328961","chr5",22141683,22141685,"-","5:22141684","5","rs71609239","PMCHL1","TSS1500","","","Updated_Hypo_MS4",0.244141621431386
"cg03343128","chr1",247712139,247712141,"-","1:247712140","1","","C1orf150","TSS1500","","","Updated_Hypo_MS4",0.320038192944886
"cg03346692","chr6",127911361,127911363,"+","6:127911362","6","","C6orf58","Body","","","Updated_Hypo_MS4",0.269925354113762
"cg03384920","chr2",79587307,79587309,"+","2:79587308","2","","","","","","Updated_Hypo_MS4",0.238045327953739
"cg03421657","chr1",166039753,166039755,"+","1:166039754","1","","FAM78B","Body","","","Updated_Hypo_MS4",0.297127924375344
"cg03437887","chr2",22605687,22605689,"-","2:22605688","2","","","","","","Updated_Hypo_MS4",0.310680365658478
"cg03478444","chr16",49407464,49407466,"-","16:49407465","16","","C16orf78","TSS1500","","","Updated_Hypo_MS4",0.412124317115271
"cg03517998","chr7",38726757,38726759,"+","7:38726758","7","","FAM183B","TSS200","","","Updated_Hypo_MS4",0.369705770300125
"cg03541909","chr19",52114808,52114810,"-","19:52114809","19","","SIGLEC5","3'UTR","","","Updated_Hypo_MS4",0.201614052853657
"cg03543319","chr2",68882248,68882250,"+","2:68882249","2","","PROKR1","Body","chr2:68882342-68882574","N_Shore","Updated_Hypo_MS4",0.216990094065762
"cg03553758","chr5",121456947,121456949,"-","5:121456948","5","","","","","","Updated_Hypo_MS4",0.301615966221462
"cg03660603","chr3",86998417,86998419,"+","3:86998418","3","","VGLL3","Body","","","Updated_Hypo_MS4",0.355134618955563
"cg03661324","chr2",79411916,79411918,"+","2:79411917","2","","","","","","Updated_Hypo_MS4",0.198887762903575
"cg03661929","chr3",116503714,116503716,"+","3:116503715","3","","","","","","Updated_Hypo_MS4",0.317770173828413
"cg03749154","chr1",31155157,31155159,"+","1:31155158","1","","","","chr1:31158009-31158261","N_Shelf","Updated_Hypo_MS4",0.262895409449652
"cg03820608","chr11",131547318,131547320,"-","11:131547319","11","rs2739274","NTM","Body","","","Updated_Hypo_MS4",0.31399145933128
"cg03825810","chr3",38888169,38888171,"-","3:38888170","3","","SCN11A","3'UTR","","","Updated_Hypo_MS4",0.259484585406592
"cg03827327","chr16",26217674,26217676,"-","16:26217675","16","","","","","","Updated_Hypo_MS4",0.293934215848627
"cg03857640","chr16",46607687,46607689,"-","16:46607688","16","","","","","","Updated_Hypo_MS4",0.305443968932526
"cg03928812","chr11",59634275,59634277,"+","11:59634276","11","","TCN1","TSS1500","","","Updated_Hypo_MS4",0.337642779639747
"cg03935060","chr16",10272020,10272022,"+","16:10272021","16","","GRIN2A","Body","chr16:10273943-10277424","N_Shore","Updated_Hypo_MS4",0.326370881633579
"cg03938558","chr1",181381334,181381336,"-","1:181381335","1","","","","chr1:181382290-181382848","N_Shore","Updated_Hypo_MS4",0.232475010822594
"cg03942042","chr15",26896680,26896682,"-","15:26896681","15","","GABRB3","Body","","","Updated_Hypo_MS4",0.347169733068396
"cg04001520","chr5",166988042,166988044,"+","5:166988043","5","","ODZ2","Body","","","Updated_Hypo_MS4",0.280845197432637
"cg04064998","chr11",109786132,109786134,"-","11:109786133","11","","","","","","Updated_Hypo_MS4",0.221419149320902
"cg04104789","chr15",24778438,24778440,"+","15:24778439","15","","","","","","Updated_Hypo_MS4",0.20661819160816
"cg04157272","chr2",68017837,68017839,"+","2:68017838","2","","","","","","Updated_Hypo_MS4",0.363751309412579
"cg04178131","chr8",105759172,105759174,"-","8:105759173","8","","","","","","Updated_Hypo_MS4",0.323027137566391
"cg04233669","chr5",135173200,135173202,"+","5:135173201","5","","LOC153328","Body","chr5:135170271-135171156","S_Shelf","Updated_Hypo_MS4",0.340717661896757
"cg04239078","chr1",209549584,209549586,"-","1:209549585","1","","","","","","Updated_Hypo_MS4",0.336242376481502
"cg04245540","chr5",55148533,55148535,"-","5:55148534","5","rs78540027","IL31RA","Body","","","Updated_Hypo_MS4",0.284953129492731
"cg04275692","chr7",45610626,45610628,"-","7:45610627","7","","","","chr7:45613386-45615504","N_Shelf","Updated_Hypo_MS4",0.355807357950612
"cg04312209","chr5",35857129,35857131,"-","5:35857130","5","rs76319694","IL7R","1stExon","","","Updated_Hypo_MS4",0.275394393163726
"cg04315554","chr2",115458558,115458560,"-","2:115458559","2","","DPP10","Body","","","Updated_Hypo_MS4",0.264140120042311
"cg04334496","chr6",133953604,133953606,"+","6:133953605","6","","","","","","Updated_Hypo_MS4",0.277223316065713
"cg04349084","chr8",23602676,23602678,"-","8:23602677","8","rs77040492","","","","","Updated_Hypo_MS4",0.393464154912516
"cg04350120","chr8",93004283,93004285,"+","8:93004284","8","","RUNX1T1","Body","","","Updated_Hypo_MS4",0.296327255192951
"cg04372933","chr7",63508473,63508475,"+","7:63508474","7","","ZNF727","Body","chr7:63505977-63506298","S_Shelf","Updated_Hypo_MS4",0.273336753151076
"cg04394710","chr3",68039482,68039484,"-","3:68039483","3","","","","","","Updated_Hypo_MS4",0.253293189103984
"cg04397137","chr17",76886911,76886913,"+","17:76886912","17","","TIMP2","Body","","","Updated_Hypo_MS4",0.257747051611102
"cg04415297","chr1",231243033,231243035,"+","1:231243034","1","","","","","","Updated_Hypo_MS4",0.236918002347202
"cg04438395","chr10",132200181,132200183,"+","10:132200182","10","","","","","","Updated_Hypo_MS4",0.28184575444516
"cg04505972","chr2",173508039,173508041,"+","2:173508040","2","","","","","","Updated_Hypo_MS4",0.400738920287572
"cg04515533","chr1",231295785,231295787,"-","1:231295786","1","rs6661297","","","chr1:231296559-231297345","N_Shore","Updated_Hypo_MS4",0.266171685461621
"cg04552811","chr3",149708131,149708133,"-","3:149708132","3","rs78843223","","","","","Updated_Hypo_MS4",0.253067474364713
"cg04553632","chr10",134929180,134929182,"-","10:134929181","10","rs34673224","GPR123","Body","chr10:134925815-134926878","S_Shelf","Updated_Hypo_MS4",0.210947182322034
"cg04556646","chr22",45310577,45310579,"+","22:45310578","22","","PHF21B","Body","chr22:45312218-45312475","N_Shore","Updated_Hypo_MS4",0.29968579742145
"cg04599946","chr16",85936479,85936481,"+","16:85936480","16","","IRF8","5'UTR","chr16:85932121-85932942","S_Shelf","Updated_Hypo_MS4",0.281678069732784
"cg04604142","chr17",48796514,48796516,"+","17:48796515","17","","LUC7L3","TSS1500","chr17:48796750-48797317","N_Shore","Updated_Hypo_MS4",0.276102829494529
"cg04625975","chr10",44285863,44285865,"-","10:44285864","10","","HNRNPA3P1","Body","","","Updated_Hypo_MS4",0.32560871020111
"cg04639905","chr5",95772720,95772722,"-","5:95772721","5","","","","chr5:95768874-95769080","S_Shelf","Updated_Hypo_MS4",0.267503475539043
"cg04652282","chr8",68944365,68944367,"-","8:68944366","8","","PREX2","Body","","","Updated_Hypo_MS4",0.395035203862002
"cg04674428","chr16",58956300,58956302,"+","16:58956301","16","","","","","","Updated_Hypo_MS4",0.279987285512641
"cg04681489","chr11",123325083,123325085,"+","11:123325084","11","","","","","","Updated_Hypo_MS4",0.29901325997276
"cg04708601","chr6",101880077,101880079,"+","6:101880078","6","","GRIK2","Body","","","Updated_Hypo_MS4",0.249993547162679
"cg04730794","chr5",169144437,169144439,"+","5:169144438","5","","DOCK2","Body","","","Updated_Hypo_MS4",0.270062164047066
"cg04741366","chr2",4022241,4022243,"-","2:4022242","2","","","","","","Updated_Hypo_MS4",0.292545783585861
"cg04747619","chr8",6914837,6914839,"-","8:6914838","8","rs55859787","DEFA5","TSS1500","","","Updated_Hypo_MS4",0.197105057889718
"cg04780726","chr14",70699207,70699209,"-","14:70699208","14","","","","chr14:70700814-70701050","N_Shore","Updated_Hypo_MS4",0.297071059132115
"cg04812644","chr8",136301999,136302001,"+","8:136302000","8","","LOC286094","Body","","","Updated_Hypo_MS4",0.304303435881746
"cg04813787","chr6",167814396,167814398,"+","6:167814397","6","","","","","","Updated_Hypo_MS4",0.386460927595331
"cg04822621","chr5",169724655,169724657,"-","5:169724656","5","","LCP2","1stExon","","","Updated_Hypo_MS4",0.270719557236817
"cg04822621","chr5",169724655,169724657,"-","5:169724656","5","","LCP2","5'UTR","","","Updated_Hypo_MS4",0.270719557236817
"cg04948906","chr11",124413228,124413230,"-","11:124413229","11","rs61743599","OR8B12","1stExon","","","Updated_Hypo_MS4",0.272526036123163
"cg04988978","chr17",56359577,56359579,"+","17:56359578","17","","MPO","TSS1500","chr17:56356374-56357013","S_Shelf","Updated_Hypo_MS4",0.198820172922926
"cg04997124","chr14",101393396,101393398,"-","14:101393397","14","","SNORD113-2","TSS1500","","","Updated_Hypo_MS4",0.35133336624349
"cg04999435","chr11",63230510,63230512,"-","11:63230511","11","","HRASLS5","3'UTR","","","Updated_Hypo_MS4",0.309487447538709
"cg05004506","chr11",4945421,4945423,"-","11:4945422","11","rs35069588","OR51G1","1stExon","","","Updated_Hypo_MS4",0.283810299617181
"cg05017639","chr16",13330598,13330600,"+","16:13330599","16","","SHISA9","3'UTR","","","Updated_Hypo_MS4",0.29163355362409
"cg05033952","chr16",34255534,34255536,"-","16:34255535","16","","","","chr16:34256748-34257750","N_Shore","Updated_Hypo_MS4",0.28615608481765
"cg05035315","chr11",132691483,132691485,"-","11:132691484","11","","OPCML","Body","","","Updated_Hypo_MS4",0.278792002075838
"cg05046377","chr11",4927914,4927916,"-","11:4927915","11","rs11034591","OR51A7","TSS1500","","","Updated_Hypo_MS4",0.303411903629718
"cg05054531","chr12",132929736,132929738,"-","12:132929737","12","","","","chr12:132930013-132930247","N_Shore","Updated_Hypo_MS4",0.264690710276277
"cg05060440","chr2",184395411,184395413,"-","2:184395412","2","","","","","","Updated_Hypo_MS4",0.229438505635286
"cg05067125","chr5",76146147,76146149,"+","5:76146148","5","","S100Z","5'UTR","","","Updated_Hypo_MS4",0.303814882669267
"cg05083067","chr11",4661334,4661336,"+","11:4661335","11","","OR51D1","1stExon","","","Updated_Hypo_MS4",0.303669629109458
"cg05126581","chr1",216144818,216144820,"+","1:216144819","1","","USH2A","Body","","","Updated_Hypo_MS4",0.365789609632043
"cg05160563","chr1",215923003,215923005,"-","1:215923004","1","","USH2A","Body","","","Updated_Hypo_MS4",0.238964986259686
"cg05177629","chr20",43834579,43834581,"+","20:43834580","20","","SEMG1","TSS1500","","","Updated_Hypo_MS4",0.233527770525795
"cg05218696","chr14",101402493,101402495,"-","14:101402494","14","","SNORD113-4","TSS1500","","","Updated_Hypo_MS4",0.311590405727772
"cg05254221","chr10",61050061,61050063,"+","10:61050062","10","","FAM13C","Body","","","Updated_Hypo_MS4",0.51596138594259
"cg05305434","chr11",1874048,1874050,"-","11:1874049","11","rs907611","LSP1","TSS200","","","Updated_Hypo_MS4",0.275225744679103
"cg05307477","chr10",118956802,118956804,"-","10:118956803","10","","KCNK18","TSS200","","","Updated_Hypo_MS4",0.274501848843348
"cg05316785","chr7",54605862,54605864,"+","7:54605863","7","","","","chr7:54609734-54610140","N_Shelf","Updated_Hypo_MS4",0.424447343212461
"cg05343159","chr10",129347528,129347530,"-","10:129347529","10","rs7914168","NPS","TSS200","","","Updated_Hypo_MS4",0.280454398593188
"cg05346256","chr12",25959371,25959373,"+","12:25959372","12","","","","","","Updated_Hypo_MS4",0.398616685842393
"cg05349159","chr1",247695327,247695329,"-","1:247695328","1","","LOC148824","TSS1500","chr1:247694035-247694501","S_Shore","Updated_Hypo_MS4",0.276056692148407
"cg05349159","chr1",247695327,247695329,"-","1:247695328","1","","OR2C3","Body","chr1:247694035-247694501","S_Shore","Updated_Hypo_MS4",0.276056692148407
"cg05387565","chr15",93128728,93128730,"+","15:93128729","15","","","","","","Updated_Hypo_MS4",0.26555627481837
"cg05391338","chr11",125616159,125616161,"+","11:125616160","11","","PATE1","TSS200","","","Updated_Hypo_MS4",0.229861206373377
