probeID,CpG_chrm,CpG_beg,CpG_end,probe_strand,CpG_sites_hg19,CHR,Probe_SNPs,gene,TSS_position,UCSC_CpG_Islands_Name,Feature_Type,signature
cg00448814,chr6,28227481,28227483,+,6:28227482,6,,NKAPL,1stExon,chr6:28226979-28227483,Island,Hyper.MS2
cg00451397,chr2,48843644,48843646,-,2:48843645,2,,STON1-GTF2A1L,Body,chr2:48844751-48844985,N_Shore,Hypo.MS7
cg00451397,chr2,48843644,48843646,-,2:48843645,2,,GTF2A1L,TSS1500,chr2:48844751-48844985,N_Shore,Hypo.MS7
cg00460049,chr1,66998805,66998807,+,1:66998806,1,,SGIP1,TSS1500,chr1:66998728-66999060,Island,Hyper.MS1
cg00467296,chr11,4928759,4928761,+,11:4928760,11,,OR51A7,1stExon,,,Hypo.MS3
cg00468228,chr8,67092561,67092563,-,8:67092562,8,,,,chr8:67089249-67089962,S_Shelf,Hypo.MS5
cg00469602,chr2,172955929,172955931,-,2:172955930,2,,,,chr2:172959267-172962054,N_Shelf,Hyper.MS1
cg00470341,chr2,183237786,183237788,-,2:183237787,2,rs833114,PDE1A,Body,,,Hypo.MS7
cg00473179,chr15,29033880,29033882,+,15:29033881,15,,,,chr15:29033878-29034710,Island,Hyper.MS2
cg00485748,chr20,44662006,44662008,+,20:44662007,20,,SLC12A5,Body,chr20:44660342-44660948,S_Shore,Hypo.MS2
cg00486280,chr15,34988868,34988870,+,15:34988869,15,,,,,,Hypo.MS6
cg00489401,chr5,180075874,180075876,-,5:180075875,5,,FLT4,Body,chr5:180075688-180076906,Island,Hyper.MS1
cg00490406,chr1,159046772,159046774,-,1:159046773,1,rs16841642,AIM2,TSS200,,,Hypo.MS1
cg00490606,chr8,102217747,102217749,-,8:102217748,8,,ZNF706,1stExon,chr8:102217317-102218461,Island,Hyper.MS2
cg00490606,chr8,102217747,102217749,-,8:102217748,8,,ZNF706,5'UTR,chr8:102217317-102218461,Island,Hyper.MS2
cg00491064,chr11,19681785,19681787,+,11:19681786,11,,NAV2,Body,,,Hypo.MS1
cg00491523,chr16,6913335,6913337,-,16:6913336,16,,A2BP1,5'UTR,,,Hypo.MS5
cg00495860,chr21,38065523,38065525,-,21:38065524,21,,,,chr21:38065179-38066185,Island,Hyper.MS1
cg00502926,chr14,21510055,21510057,-,14:21510056,14,,RNASE7,TSS1500,,,Hypo.MS7
cg00503302,chr3,62355318,62355320,+,3:62355319,3,,,,chr3:62355315-62355534,Island,Hyper.MS3
cg00503383,chr1,91301650,91301652,-,1:91301651,1,,,,chr1:91300979-91301891,Island,Hyper.MS3
cg00509996,chr4,7595396,7595398,+,4:7595397,4,,SORCS2,Body,chr4:7593369-7593586,S_Shore,Hypo.MS1
cg00515457,chr19,35396202,35396204,-,19:35396203,19,,,,chr19:35395938-35396476,Island,Hyper.MS1
cg00516092,chr20,31177274,31177276,+,20:31177275,20,,,,chr20:31170740-31173640,S_Shelf,Hypo.MS7
cg00519537,chr16,7796773,7796775,+,16:7796774,16,,,,,,Hypo.MS5
cg00519829,chr10,99696218,99696220,-,10:99696219,10,,CRTAC1,Body,,,Hypo.MS6
cg00524900,chr5,118609964,118609966,+,5:118609965,5,,TNFAIP8,Body,,,Hypo.MS1
cg00529958,chr13,100624287,100624289,+,13:100624288,13,,ZIC5,TSS200,chr13:100620241-100624348,Island,Hyper.MS1
cg00532399,chr5,171209552,171209554,+,5:171209553,5,,,,,,Hypo.MS4
cg00534479,chr5,168196463,168196465,-,5:168196464,5,,SLIT3,Body,,,Hypo.MS2
cg00534479,chr5,168196463,168196465,-,5:168196464,5,,MIR218-2,TSS1500,,,Hypo.MS2
cg00542992,chr5,141595653,141595655,+,5:141595654,5,,,,,,Hypo.MS1
cg00548098,chr16,11295666,11295668,+,16:11295667,16,,,,,,Hypo.MS1
cg00548268,chr7,98245829,98245831,+,7:98245830,7,,NPTX2,TSS1500,chr7:98245805-98247759,Island,Hyper.MS1
cg00553149,chr7,99775557,99775559,+,7:99775558,7,,STAG3,5'UTR,chr7:99774733-99775583,Island,Hyper.MS1
cg00553149,chr7,99775557,99775559,+,7:99775558,7,,STAG3,1stExon,chr7:99774733-99775583,Island,Hyper.MS1
cg00553149,chr7,99775557,99775559,+,7:99775558,7,,GPC2,TSS1500,chr7:99774733-99775583,Island,Hyper.MS1
cg00557947,chr10,102419244,102419246,-,10:102419245,10,,,,chr10:102419147-102419668,Island,Hyper.MS1
cg00561194,chr10,38069719,38069721,-,10:38069720,10,rs79806277,,,chr10:38069586-38069946,Island,Hyper.MS3
cg00563352,chr5,9765707,9765709,-,5:9765708,5,,LOC285692,Body,,,Hypo.MS7
cg00564524,chr8,142629255,142629257,+,8:142629256,8,,,,chr8:142630127-142630468,N_Shore,Hypo.MS6
cg00573887,chr8,35979032,35979034,-,8:35979033,8,,,,,,Hypo.MS5
cg00574563,chr17,35299269,35299271,-,17:35299270,17,rs8078990,LHX1,Body,chr17:35291899-35300875,Island,Hyper.MS3
cg00579520,chr12,128752585,128752587,-,12:128752586,12,,TMEM132C,Body,chr12:128751041-128753151,Island,Hyper.MS1
cg00582971,chr5,178422127,178422129,-,5:178422128,5,,GRM6,TSS200,chr5:178421225-178422337,Island,Hyper.MS1
cg00584026,chr4,942341,942343,-,4:942342,4,,TMEM175,Body,chr4:940613-941057,S_Shore,Hyper.MS2
cg00594099,chr1,27893885,27893887,+,1:27893886,1,,AHDC1,5'UTR,chr1:27894927-27895524,N_Shore,Hyper.MS2
cg00594278,chr22,40296406,40296408,-,22:40296407,22,,GRAP2,TSS1500,,,Hypo.MS7
cg00599219,chr16,3307036,3307038,+,16:3307037,16,,MEFV,TSS1500,chr16:3304351-3304696,S_Shelf,Hypo.MS1
cg00601836,chr6,152130331,152130333,+,6:152130332,6,,ESR1,Body,chr6:152128822-152129771,S_Shore,Hyper.MS2
cg00604202,chr6,99272986,99272988,+,6:99272987,6,,,,chr6:99272394-99273014,Island,Hyper.MS1
cg00604771,chr16,32213943,32213945,-,16:32213944,16,,,,chr16:32213542-32214210,Island,Hyper.MS2
cg00613752,chr6,110300307,110300309,+,6:110300308,6,,GPR6,5'UTR,chr6:110299365-110301267,Island,Hyper.MS1
cg00613752,chr6,110300307,110300309,+,6:110300308,6,,GPR6,1stExon,chr6:110299365-110301267,Island,Hyper.MS1
cg00621646,chr11,123849140,123849142,+,11:123849141,11,,OR10S1,TSS1500,,,Hypo.MS2
cg00629625,chr20,44663629,44663631,-,20:44663630,20,,SLC12A5,Body,chr20:44660342-44660948,S_Shelf,Hypo.MS2
cg00637687,chr5,95768914,95768916,-,5:95768915,5,,PCSK1,1stExon,chr5:95768874-95769080,Island,Hyper.MS3
cg00637687,chr5,95768914,95768916,-,5:95768915,5,,PCSK1,5'UTR,chr5:95768874-95769080,Island,Hyper.MS3
cg00638020,chr7,158281137,158281139,-,7:158281138,7,,PTPRN2,Body,chr7:158281373-158281734,N_Shore,Hypo.MS3
cg00640053,chr7,155305910,155305912,-,7:155305911,7,,CNPY1,5'UTR,chr7:155302253-155303158,S_Shelf,Hypo.MS6
cg00644847,chr1,6787584,6787586,-,1:6787585,1,,,,,,Hypo.MS3
cg00646347,chr10,135044855,135044857,-,10:135044856,10,,UTF1,Body,chr10:135044780-135044992,Island,Hyper.MS3
cg00650953,chr7,147500502,147500504,+,7:147500503,7,,CNTNAP2,Body,,,Hypo.MS2
cg00651359,chr7,132219280,132219282,+,7:132219281,7,,PLXNA4,5'UTR,,,Hypo.MS6
cg00651488,chr16,85236464,85236466,-,16:85236465,16,,,,,,Hyper.MS2
cg00662556,chr18,74963363,74963365,+,18:74963364,18,,GALR1,Body,chr18:74961556-74963822,Island,Hyper.MS1
cg00664697,chr16,80061289,80061291,-,16:80061290,16,rs56320804,,,,,Hypo.MS3
cg00665029,chr8,354519,354521,-,8:354520,8,rs7830354,,,chr8:356374-357674,N_Shore,Hypo.MS2
cg00666640,chr1,248458725,248458727,-,1:248458726,1,rs28409263,OR2T12,1stExon,,,Hypo.MS6
cg00671600,chr20,61792442,61792444,-,20:61792443,20,,,,chr20:61788160-61788669,S_Shelf,Hypo.MS6
cg00673646,chr11,59950524,59950526,+,11:59950525,11,,MS4A6A,5'UTR,,,Hypo.MS2
cg00673646,chr11,59950524,59950526,+,11:59950525,11,,MS4A6A,1stExon,,,Hypo.MS2
cg00676085,chr12,52991944,52991946,+,12:52991945,12,,KRT72,Body,chr12:52994772-52995312,N_Shelf,Hypo.MS3
cg00676711,chr8,21268341,21268343,-,8:21268342,8,,,,,,Hypo.MS3
cg00679763,chr17,46993160,46993162,+,17:46993161,17,,UBE2Z,Body,,,Hypo.MS7
cg00680551,chr8,103135594,103135596,-,8:103135595,8,rs60843996,NCALD,5'UTR,chr8:103135914-103136775,N_Shore,Hyper.MS2
cg00687073,chr8,954551,954553,+,8:954552,8,,,,chr8:956288-957205,N_Shore,Hypo.MS3
cg00689835,chr2,169757617,169757619,+,2:169757618,2,,G6PC2,TSS200,,,Hypo.MS7
cg00691830,chr15,37388539,37388541,+,15:37388540,15,,MEIS2,Body,chr15:37390175-37390380,N_Shore,Hyper.MS2
cg00696930,chr1,183164411,183164413,-,1:183164412,1,,LAMC2,Body,,,Hypo.MS2
cg00697992,chr2,139537130,139537132,-,2:139537131,2,,NXPH2,Body,chr2:139537692-139538650,N_Shore,Hyper.MS1
cg00706913,chr1,3330138,3330140,-,1:3330139,1,,PRDM16,Body,chr1:3331040-3331279,N_Shore,Hypo.MS5
cg00712711,chr7,9767446,9767448,-,7:9767447,7,,,,chr7:9765661-9766215,S_Shore,Hypo.MS4
cg00713400,chr7,22233205,22233207,+,7:22233206,7,,RAPGEF5,Body,,,Hyper.MS2
cg00716257,chr14,75897416,75897418,+,14:75897417,14,,JDP2,5'UTR,chr14:75894308-75895469,S_Shore,Hyper.MS2
cg00716257,chr14,75897416,75897418,+,14:75897417,14,,JDP2,TSS1500,chr14:75894308-75895469,S_Shore,Hyper.MS2
cg00724015,chr2,119145085,119145087,-,2:119145086,2,,,,,,Hypo.MS6
cg00731062,chr3,153202274,153202276,+,3:153202275,3,,C3orf79,TSS200,,,Hypo.MS5
cg00731458,chr16,71463000,71463002,-,16:71463001,16,,,,chr16:71459781-71460338,S_Shelf,Hypo.MS6
cg00735080,chr21,47285120,47285122,+,21:47285121,21,,PCBP3,Body,chr21:47287012-47287426,N_Shore,Hypo.MS3
cg00736201,chr12,108643266,108643268,+,12:108643267,12,,WSCD2,3'UTR,,,Hypo.MS4
cg00742465,chr6,66800877,66800879,-,6:66800878,6,,,,chr6:66804630-66804831,N_Shelf,Hypo.MS7
cg00744494,chr14,73707720,73707722,+,14:73707721,14,,PAPLN,Body,chr14:73706299-73706677,S_Shore,Hypo.MS2
cg00752195,chr4,1399515,1399517,-,4:1399516,4,,,,chr4:1396291-1401730,Island,Hyper.MS3
cg00753442,chr6,6384658,6384660,+,6:6384659,6,,LOC285780,Body,,,Hypo.MS3
cg00754989,chr15,72530043,72530045,-,15:72530044,15,,,,,,Hypo.MS1
cg00760950,chr13,38066982,38066984,-,13:38066983,13,rs74046294,,,,,Hypo.MS7
cg00767010,chr9,99482093,99482095,+,9:99482094,9,,,,chr9:99481902-99482470,Island,Hyper.MS1
